ID (Position on the Tranco list),Web app URL,scripts,image,links,stylesheets,size (bytes),size (kilobytes),Type
9,instagram.com,8,7,75,5,180654,177,Social media
21,bilibili.com,15,3,2,22,235252,230,Video sharing website
50,sharepoint.com,4,1,1,2,444386,434,online services
67,vk.com,3,3,1,7,128110,126,Social media
62,taobao.com,6,2,7,1,30042,30,eCommerce
73,tiktok.com,33,1,41,1,1374376,1343,Social media
77,weibo.com,3,4,1,6,20452,20,Social media
89,paypal.com,1,7,4,1,262724,257,online services
90,nytimes.com,16,5,10,9,3623026,3539,News/Magazine
96,dropbox.com,1,5,24,7,1311718,1281,online services
116,soundcloud.com,22,9,11,6,121956,120,Music sharing websites
121,fandom.com,1,4,2,3,223310,219,Wiki / Forum
109,salesforce.com,9,2,14,7,377872,370,CMS
145,aliexpress.com,1,2,29,2,206134,202,eCommerce
123,force.com,5,2,16,5,272412,267,CMS
110,sohu.com,1,8,12,2,348592,341,online services
155,quora.com,6,1,1,2,163804,160,Wiki / Forum
183,researchgate.net,8,5,5,14,75078,74,Web portals 
187,wixsite.com,1,3,29,7,1262254,1233,CMS
208,booking.com,10,2,5,15,1029718,1006,online services
202,washingtonpost.com,39,7,28,2,3236696,3161,News/Magazine
223,tinyurl.com,1,9,2,2,16370,16,online services
222,wiley.com,1,1,200,3,329850,323,Web portals 
231,wsj.com,10,3,2,2,1604124,1567,News/Magazine
238,wix.com,1,3,29,7,1262254,1233,CMS
230,rambler.ru,5,15,9,6,142610,140,online services
259,freepik.com,3,10,19,3,152270,149,online services
219,aliyun.com,2,1,10,9,450308,440,online services
270,slideshare.net,1,1,12,11,252396,247,online services
315,ring.com,9,5,6,7,424042,415,Web portals 
241,userapi.com,3,3,1,7,128110,126,online services
306,no-ip.com,1,1,7,3,115698,113,online services
336,time.com,2,12,8,3,513092,502,News/Magazine
642,infonline.de,2,3,13,24,249822,244,online services
346,okta.com,2,1,25,2,1385044,1353,online services
351,ted.com,19,5,5,2,947132,925,Video sharing website
384,udemy.com,3,3,8,3,675972,661,Video sharing website
414,wetransfer.com,3,7,8,1,64094,63,online services
365,megafon.ru,1,10,2,4,693992,678,online services
390,ft.com,28,4,6,2,661096,646,Wiki / Forum
431,herokuapp.com,1,1,3,2,378922,371,online services
379,hostgator.com,18,4,1,4,479180,468,CMS
420,b-cdn.net,7,1,1,1,983912,961,online services
411,squarespace.com,1,7,24,24,596526,583,CMS
413,intel.com,3,16,11,11,267038,261,Business Website
429,livejournal.com,1,3,6,4,704762,689,News/Magazine
417,marriott.com,1,1,4,1,563444,551,Portfolio webstite
459,vkontakte.ru,3,3,1,7,128110,126,Social media
452,binance.com,2,4,40,4,576450,563,online services
453,cbsnews.com,2,5,27,1,1066044,1042,News/Magazine
496,theatlantic.com,3,6,2,1,901082,880,News/Magazine
468,uol.com.br,4,2,13,1,1492446,1458,online services
534,exacttarget.com,5,2,16,7,280754,275,online services
573,bitrix24.ru,7,5,10,12,239168,234,online services
543,buzzfeed.com,3,8,16,4,1978556,1933,online services
586,elsevier.com,1,5,25,3,276102,270,online services
556,trustpilot.com,2,7,30,6,383542,375,Business Website
510,quizlet.com,20,2,21,7,208290,204,online services
619,marketwatch.com,2,5,21,2,1164754,1138,Business Website
670,nike.com,9,6,14,6,1515920,1481,eCommerce
865,aljazeera.com,11,2,21,10,438632,429,Business Website
636,investing.com,7,5,35,2,220372,216,online services
12784,luminate.com,10,2,3,4,76960,76,online services
650,rt.com,2,6,14,2,749098,732,News/Magazine
697,cbc.ca,20,2,21,11,606448,593,News/Magazine
707,vice.com,27,31,8,14,352046,344,News/Magazine
2868,aljazeera.net,11,3,15,10,519336,508,News/Magazine
729,mashable.com,6,7,14,2,250150,245,News/Magazine
754,mathtag.com,1,3,11,11,225842,221,online services
713,qualtrics.com,1,6,11,11,740972,724,Web portals 
767,bmj.com,4,3,8,2,520912,509,News/Magazine
1109,hbomax.com,1,1,2,4,1203378,1176,Video sharing website
775,python.org,2,6,4,3,99816,98,Business Website
770,namu.wiki,3,4,1,4,281994,276,Wiki / Forum
834,newsweek.com,1,5,7,6,542748,531,News/Magazine
1074,varzesh3.com,2,17,23,6,904932,884,News/Magazine
823,frontiersin.org,9,3,1,8,159536,156,Web portals 
852,spiegel.de,4,9,5,7,2576118,2516,News/Magazine
830,shein.com,9,6,54,3,864708,845,eCommerce
2109,mparticle.com,13,14,1,1,172040,169,online services
879,elpais.com,1,1,9,2,767688,750,News/Magazine
800,51cto.com,24,1,1,10,321988,315,CMS
952,ameblo.jp,10,2,6,5,195548,191,Social networking
891,xing.com,1,2,1,3,293292,287,Social networking
857,jstor.org,4,6,11,4,120288,118,Business Website
968,mirror.co.uk,3,9,18,4,1209328,1181,News/Magazine
846,9gag.com,4,7,3,1,306288,300,Social media
1000,wattpad.com,4,6,29,3,139642,137,online services
930,entrepreneur.com,1,2,48,3,238084,233,Business Website
956,shopee.tw,4,11,1,4,80706,79,eCommerce
975,timeanddate.com,1,3,2,3,107510,105,Business Website
1032,utorrent.com,9,1,19,2,588150,575,online services
1043,sky.com,20,7,7,3,647150,632,online services
1036,sectigo.com,1,7,52,3,461380,451,Business Website
1102,shopee.co.id,4,11,1,4,77512,76,eCommerce
1075,adp.com,2,1,32,3,376646,368,online services
1199,gismeteo.ru,2,10,1,1,165562,162,online services
1193,mongodb.com,1,2,19,1,1386174,1354,online services
1093,variety.com,4,9,11,4,1406092,1374,Business Website
1176,rapid7.com,1,1,5,13,319662,313,online services
1117,pcmag.com,10,4,23,2,346842,339,online services
